CPU_mean,CPU_std,CPU_user,CPU_system,CPU_interrupt,CPU_wait,Mem_used_mean,Mem_used_std,Used_mem_ratio,Disk_read,Disk_write,Disk_read_write_ratio,Total_filesystem_events,Create_filesystem_events,Modify_filesystem_events,Delete_filesystem_events,Avg_path_length,Unique_path_count,Directory_event_ratio,EventID_entropy,Event_count,num_services,num_unique_paths_services,Num_processes,Avg_num_reads,Avg_num_writes,Avg_bytes_read,Avg_bytes_written,write_read_ratio,std_bytes_written,procceses_with_more_writes_than_reads_percentage,entropy_path,processes_without_path,orphan_processes,different_parents_per_processes,unique_users,OS,Infected,Ejecution
91.10666666666665,16.845032693253568,83.16000000000001,7.463333333333334,0.18333333333333332,8.893333333333334,1532932096.0,22243693.04179313,0.373264462026863,1468.0,1114.0,0.7583390061266168,1077.0,127.0,824.0,0.0,6.536675951717735,133.0,0.3515769944341373,0.23343680224667723,369.0,179.0,1.0,227.0,3943.863436123348,2767.4273127753304,4943754.713656387,717774.3788546255,0.1451880757117268,7135979.749109934,17.105263157894736,6.455352360798852,88.0,2.0,18.455673793207612,16.0,Linux,1,braincipher
83.3,20.468810962589455,76.73157894736842,6.394736842105263,0.15789473684210525,16.7,1543302736.8421052,7957183.5044580195,0.37578968260571516,354.0,1890.0,5.323943661971831,3016.0,179.0,2748.0,2.0,6.797413793103448,364.0,0.16241299303944315,0.15109697051711368,184.0,179.0,1.0,226.0,6551.08407079646,3026.2433628318586,5520130.265486726,767238.7964601769,0.13898923042956432,7251607.8116475055,18.06167400881057,6.463642438954321,88.0,2.0,18.46181761575548,16.0,Linux,1,braincipher
99.26666666666667,2.555363977493474,86.80666666666667,12.243333333333332,0.23,0.7333333333333333,1594431488.0,26101354.21740019,0.3882393833099119,4344.0,2294.0,0.5279631760644419,19292.0,107.0,19049.0,47.0,2.7719261870205267,214.0,0.4724511480847976,0.339922519461104,315.0,178.0,1.0,225.0,2211.5022222222224,1491.8755555555556,4008582.257777778,231050.8088888889,0.05763901958144075,2034076.0107638387,14.601769911504425,6.472749856149832,90.0,2.0,18.525456548289995,15.0,Linux,1,fog1
99.96666666666667,0.12685406585123124,90.00333333333334,9.770000000000001,0.2,0.03333333333333333,1563009979.7333333,51873517.16780832,0.3805883383550609,3553.0,1066.0,0.2999437253798537,17894.0,1.0,17892.0,1.0,2.529786520621437,12.0,0.4957250628667225,0.16866093149667025,240.0,178.0,1.0,223.0,4825.605381165919,1984.0986547085201,4424451.443946188,582881.0044843049,0.13174082259192074,4842451.782621178,16.071428571428573,6.447808845129228,90.0,2.0,18.81088680433731,15.0,Linux,1,fog1
99.8,0.3850660489694794,90.71999999999998,8.9,0.18333333333333332,0.2,1476940185.6,8464061.235252159,0.3596305963338895,3959.0,2954.0,0.7459595959595959,,,,,,,,0.18717625687320819,210.0,178.0,1.0,217.0,6893.345622119816,2683.4147465437786,4121519.7788018435,971412.6451612903,0.235692769076294,9181545.855755903,15.59633027522936,6.438163844560409,90.0,2.0,19.733508954602463,15.0,Linux,1,fog1
99.96666666666667,0.12685406585123124,91.12333333333332,8.703333333333335,0.15,0.03333333333333333,1458339976.5333333,10657671.791255787,0.3551015000686519,2780.0,2425.0,0.8719884933477167,,,,,,,,0.16032872589902855,256.0,178.0,1.0,214.0,9147.995327102804,3330.957943925234,4419985.943925234,1415148.8598130841,0.32017037103651275,14958579.908801187,15.813953488372093,6.454872544573215,90.0,2.0,19.762344611666517,15.0,Linux,1,fog1
99.93333333333334,0.1759328876372492,91.30000000000001,8.426666666666668,0.2,0.06666666666666667,1442615569.0666666,2469774.203427612,0.3512726530446696,2375.0,1235.0,0.5197811447811448,,,,,,,,0.19364280468389863,268.0,178.0,1.0,,,,,,,,,,,,,,Linux,1,fog1
99.81666666666666,0.44495899333211203,88.85,10.663333333333332,0.16666666666666666,0.18333333333333335,1583777109.3333333,27599714.37027353,0.3856450734043257,4760.0,1438.0,0.30203738710354966,27065.0,107.0,26803.0,64.0,2.7819323849990765,305.0,0.47816448681001994,0.2729992040637322,268.0,178.0,1.0,226.0,2132.66814159292,1449.6371681415928,3733363.5398230087,175602.40707964601,0.04703596587114179,1561102.3178137494,16.740088105726873,6.4680596724449915,90.0,2.0,18.40814625335339,15.0,Linux,1,fog2
99.98333333333333,0.09128709291752768,91.85666666666665,7.98,0.16666666666666666,0.016666666666666666,1569542963.2,43150524.836401574,0.3821791006370164,3776.0,3045.0,0.8061953931691819,9757.0,1.0,9755.0,1.0,2.5597007276826895,10.0,0.48278335724533716,0.29808144489347876,240.0,178.0,1.0,228.0,4444.793859649123,2018.5219298245613,4435361.684210527,523479.5789473684,0.11802407519252178,4791174.899550813,16.593886462882097,6.459463152629403,91.0,2.0,18.5423859240815,15.0,Linux,1,fog2
99.96666666666667,0.12685406585123124,92.81333333333333,7.03,0.13333333333333333,0.03333333333333333,1486010641.0666666,17825463.97047741,0.36183922559342324,4452.0,2818.0,0.6328317987873344,,,,,,,,0.27755096395759704,239.0,178.0,1.0,219.0,6756.333333333333,2723.611872146119,4224981.917808219,896238.4657534247,0.21212830517628778,9295708.380125267,17.272727272727273,6.445184232100358,90.0,2.0,19.21149679737116,15.0,Linux,1,fog2
99.88333333333334,0.31303115778964635,92.95,6.786666666666667,0.15,0.11666666666666667,1506130602.6666667,27325522.319005746,0.3667383771358965,3450.0,2914.0,0.8443929295856274,,,,,,,,0.2882051849674438,228.0,178.0,1.0,,,,,,,,,,,,,,Linux,1,fog2
99.93333333333334,0.17593288763724918,93.07333333333334,6.733333333333333,0.13333333333333333,0.06666666666666667,1449863577.6,7061633.44979127,0.3530375218298038,648.0,1999.0,3.0801232665639446,,,,,,,,0.27580493201305833,288.0,178.0,1.0,,,,,,,,,,,,,,Linux,1,fog2
90.70666666666666,17.29628091045394,82.83666666666666,7.723333333333334,0.11666666666666667,9.290000000000001,1352995908.2666667,11584755.4038985,0.32944921459563203,1633.0,1171.0,0.7166462668298653,1100.0,126.0,849.0,0.0,6.498181818181818,132.0,0.34150772025431425,0.18039691985339742,367.0,179.0,1.0,239.0,1571.1966527196653,635.1380753138076,3583888.60251046,113848.23430962343,0.031766668881171585,1170597.5567970572,14.166666666666666,6.424755944584416,102.0,2.0,20.31185793029887,16.0,Linux,1,nitrogen1
82.31,21.5062516973313,76.71999999999998,5.48,0.11666666666666667,17.69,1362606899.2,6835958.915510883,0.3317894533170697,1343.0,1052.0,0.7827380952380952,1528.0,107.0,1223.0,1.0,5.69109947643979,219.0,0.3322432962720733,0.2562858858804729,290.0,179.0,1.0,241.0,3972.1576763485477,752.0,4109231.269709544,189299.78423236514,0.046066946769535023,1428033.8181749126,14.87603305785124,6.43200622772089,102.0,2.0,20.017227428877206,16.0,Linux,1,nitrogen1
99.9,0.20341905108624314,92.0,7.743333333333334,0.16666666666666666,0.1,1360810939.7333333,16434697.33345759,0.3313521442076158,6293.0,3942.0,0.6263107721639657,2676.0,9.0,2658.0,9.0,5.602017937219731,17.0,0.010085917071348524,0.17033057560105985,237.0,179.0,1.0,238.0,6146.176470588235,921.7310924369748,4262361.277310925,389584.67226890754,0.0914011167804094,3078344.9774114736,15.062761506276152,6.444198551137369,102.0,2.0,20.039213451569793,16.0,Linux,1,nitrogen1
99.86666666666666,0.2248882225544018,92.96333333333332,6.653333333333334,0.25,0.13333333333333333,1346948027.7333333,18109964.395320065,0.3279765793278525,6526.0,4507.0,0.6905163168377508,3335.0,2.0,2522.0,1.0,14.318440779610196,833.0,0.4877098321342926,0.38361371953065593,221.0,179.0,1.0,231.0,8478.207792207791,1317.3116883116884,4225910.5800865805,1047033.3506493507,0.2477650870839799,9657173.596447414,14.655172413793101,6.431428902559139,102.0,2.0,20.976971500512967,16.0,Linux,1,nitrogen1
99.68518518518519,0.46301993951390946,85.42592592592592,13.78888888888889,0.48148148148148145,0.3148148148148148,1300903708.4444444,78786260.18357569,0.31676496757527267,5446.0,7424.0,1.362952083715807,1368.0,2.0,1032.0,2.0,14.414473684210526,339.0,0.49013878743608474,0.3250208696084991,196.0,179.0,1.0,,,,,,,,,,,,,,Linux,1,nitrogen1
