timestamp,gpu_name,gpu_utilization_percent,memory_used_MB,memory_total_MB,temperature_C
2025-05-06 10:11:03,2025/05/06 10:11:03.469,0,0,4096,40
2025-05-06 10:11:04,2025/05/06 10:11:04.501,0,0,4096,40
2025-05-06 10:11:05,2025/05/06 10:11:05.537,0,0,4096,40
2025-05-06 10:11:06,2025/05/06 10:11:06.571,0,0,4096,40
2025-05-06 10:11:07,2025/05/06 10:11:07.612,0,0,4096,40
