Timestamp,CPU Total (%),CPU User (%),CPU System (%),CPU Idle (%),CPU Interrupt (%),CPU DCP (%),Mem Total,Mem Available,Mem Percent,Mem used,Mem Free,Swap Total,Swap Used,Swap Free,Swap Percent,Swap Sin,Swap Sout,Disco - Lecturas Completadas,Disco - Escrituras Completadas
2025-04-11 19:38:31,7.2,2.1,4.8,92.8,0.0,0.3,34046693376,22957015040,32.6,11089678336,22957015040,5100273664,0,5100273664,0.0,0,0,326059,230278
2025-04-11 19:38:32,3.6,2.1,1.4,96.4,0.0,0.0,34046693376,22956417024,32.6,11090276352,22956417024,5100273664,0,5100273664,0.0,0,0,326059,230278
2025-04-11 19:38:33,5.4,1.6,3.2,94.6,0.5,0.1,34046693376,22951038976,32.6,11095654400,22951038976,5100273664,0,5100273664,0.0,0,0,326059,230282
2025-04-11 19:38:34,3.0,1.4,1.6,97.0,0.0,0.1,34046693376,22958186496,32.6,11088506880,22958186496,5100273664,0,5100273664,0.0,0,0,326067,230287
2025-04-11 19:38:35,1.7,0.3,1.3,98.3,0.0,0.2,34046693376,22964137984,32.6,11082555392,22964137984,5100273664,0,5100273664,0.0,0,0,326067,230303
2025-04-11 19:38:36,6.2,1.7,4.5,93.8,0.0,0.0,34046693376,22974787584,32.5,11071905792,22974787584,5100273664,0,5100273664,0.0,0,0,326067,230303
2025-04-11 19:38:37,4.6,2.2,2.0,95.4,0.2,0.2,34046693376,23000494080,32.4,11046199296,23000494080,5100273664,0,5100273664,0.0,0,0,326068,230308
2025-04-11 19:38:38,3.0,2.1,1.0,97.0,0.0,0.0,34046693376,23000805376,32.4,11045888000,23000805376,5100273664,0,5100273664,0.0,0,0,326068,230316
2025-04-11 19:38:39,2.6,1.2,1.2,97.4,0.1,0.1,34046693376,23005270016,32.4,11041423360,23005270016,5100273664,0,5100273664,0.0,0,0,326068,230319
2025-04-11 19:38:40,3.0,1.1,1.5,97.0,0.4,0.1,34046693376,22998286336,32.5,11048407040,22998286336,5100273664,0,5100273664,0.0,0,0,326068,230325
2025-04-11 19:38:41,9.0,4.5,4.0,91.0,0.1,0.4,34046693376,23004012544,32.4,11042680832,23004012544,5100273664,0,5100273664,0.0,0,0,326114,230447
2025-04-11 19:38:42,9.2,2.4,6.6,90.8,0.0,0.2,34046693376,23011381248,32.4,11035312128,23011381248,5100273664,0,5100273664,0.0,0,0,326119,230453
2025-04-11 19:38:43,10.9,5.7,4.9,89.1,0.2,0.0,34046693376,22999789568,32.4,11046903808,22999789568,5100273664,0,5100273664,0.0,0,0,326119,230453
2025-04-11 19:38:44,8.8,4.0,4.6,91.2,0.1,0.1,34046693376,22991888384,32.5,11054804992,22991888384,5100273664,0,5100273664,0.0,0,0,326120,230461
2025-04-11 19:38:45,12.6,8.2,3.9,87.4,0.3,0.2,34046693376,22987608064,32.5,11059085312,22987608064,5100273664,0,5100273664,0.0,0,0,326121,230469
2025-04-11 19:38:46,1.8,0.6,1.0,98.2,0.0,0.2,34046693376,22992830464,32.5,11053862912,22992830464,5100273664,0,5100273664,0.0,0,0,326121,230474
2025-04-11 19:38:47,6.6,3.5,2.7,93.4,0.2,0.2,34046693376,22996492288,32.5,11050201088,22996492288,5100273664,0,5100273664,0.0,0,0,326121,230476
2025-04-11 19:38:48,15.4,6.2,8.9,84.6,0.2,0.1,34046693376,22999928832,32.4,11046764544,22999928832,5100273664,0,5100273664,0.0,0,0,326130,230494
2025-04-11 19:38:49,8.6,4.6,3.7,91.4,0.1,0.2,34046693376,22985232384,32.5,11061460992,22985232384,5100273664,0,5100273664,0.0,0,0,326130,230503
2025-04-11 19:38:50,14.9,7.0,6.8,85.1,0.4,0.6,34046693376,22987567104,32.5,11059126272,22987567104,5100273664,0,5100273664,0.0,0,0,326130,230510
2025-04-11 19:38:51,12.1,5.6,6.2,87.9,0.1,0.2,34046693376,22989037568,32.5,11057655808,22989037568,5100273664,0,5100273664,0.0,0,0,326130,230513
2025-04-11 19:38:52,11.0,5.5,5.1,89.0,0.1,0.3,34046693376,22981738496,32.5,11064954880,22981738496,5100273664,0,5100273664,0.0,0,0,326133,230520
2025-04-11 19:38:53,16.2,8.2,7.5,83.8,0.2,0.4,34046693376,22967099392,32.5,11079593984,22967099392,5100273664,0,5100273664,0.0,0,0,326134,230545
2025-04-11 19:38:54,14.6,7.3,6.9,85.4,0.2,0.2,34046693376,22957187072,32.6,11089506304,22957187072,5100273664,0,5100273664,0.0,0,0,326134,230561
2025-04-11 19:38:55,1.6,1.0,0.6,98.4,0.0,0.0,34046693376,22955909120,32.6,11090784256,22955909120,5100273664,0,5100273664,0.0,0,0,326142,230562
2025-04-11 19:38:56,0.5,0.2,0.2,99.5,0.0,0.1,34046693376,22958284800,32.6,11088408576,22958284800,5100273664,0,5100273664,0.0,0,0,326142,230566
2025-04-11 19:38:57,1.5,0.7,0.6,98.5,0.1,0.1,34046693376,22957314048,32.6,11089379328,22957314048,5100273664,0,5100273664,0.0,0,0,326143,230594
2025-04-11 19:38:58,1.8,0.8,0.7,98.2,0.3,0.1,34046693376,22956752896,32.6,11089940480,22956752896,5100273664,0,5100273664,0.0,0,0,326143,230594
2025-04-11 19:38:59,4.1,0.9,3.1,95.9,0.1,0.1,34046693376,22958059520,32.6,11088633856,22958059520,5100273664,0,5100273664,0.0,0,0,326143,230606
2025-04-11 19:39:00,2.5,0.3,2.0,97.5,0.0,0.2,34046693376,22958006272,32.6,11088687104,22958006272,5100273664,0,5100273664,0.0,0,0,326143,230614
2025-04-11 19:39:01,1.0,0.6,0.4,99.0,0.0,0.0,34046693376,22958215168,32.6,11088478208,22958215168,5100273664,0,5100273664,0.0,0,0,326143,230616
2025-04-11 19:39:02,1.3,0.3,0.7,98.7,0.0,0.3,34046693376,22957953024,32.6,11088740352,22957953024,5100273664,0,5100273664,0.0,0,0,326151,230618
2025-04-11 19:39:03,1.4,0.4,0.7,98.6,0.0,0.4,34046693376,22958481408,32.6,11088211968,22958481408,5100273664,0,5100273664,0.0,0,0,326151,230622
2025-04-11 19:39:04,1.3,0.3,0.6,98.7,0.3,0.1,34046693376,22968860672,32.5,11077832704,22968860672,5100273664,0,5100273664,0.0,0,0,326151,230626
2025-04-11 19:39:05,5.6,0.6,4.8,94.4,0.1,0.1,34046693376,22978007040,32.5,11068686336,22978007040,5100273664,0,5100273664,0.0,0,0,326151,230630
2025-04-11 19:39:06,4.1,1.5,2.4,95.9,0.0,0.2,34046693376,22985871360,32.5,11060822016,22985871360,5100273664,0,5100273664,0.0,0,0,326151,230630
2025-04-11 19:39:07,9.1,3.8,4.9,91.0,0.0,0.3,34046693376,22894190592,32.8,11152502784,22894190592,5100273664,0,5100273664,0.0,0,0,326151,230634
2025-04-11 19:39:08,5.4,4.0,1.3,94.6,0.1,0.0,34046693376,22893412352,32.8,11153281024,22893412352,5100273664,0,5100273664,0.0,0,0,326151,230658
2025-04-11 19:39:09,3.8,2.1,1.3,96.2,0.2,0.1,34046693376,22881669120,32.8,11165024256,22881669120,5100273664,0,5100273664,0.0,0,0,326160,230667
2025-04-11 19:39:10,12.6,7.6,4.5,87.4,0.2,0.3,34046693376,22964412416,32.6,11082280960,22964412416,5100273664,0,5100273664,0.0,0,0,326161,230831
2025-04-11 19:39:11,13.7,6.9,6.5,86.3,0.2,0.1,34046693376,22945071104,32.6,11101622272,22945071104,5100273664,0,5100273664,0.0,0,0,326161,230867
2025-04-11 19:39:12,19.4,14.0,5.0,80.6,0.2,0.2,34046693376,22842236928,32.9,11204456448,22842236928,5100273664,0,5100273664,0.0,0,0,326167,230929
2025-04-11 19:39:13,8.0,5.1,2.8,92.0,0.1,0.0,34046693376,22860185600,32.9,11186507776,22860185600,5100273664,0,5100273664,0.0,0,0,326170,231020
2025-04-11 19:39:14,8.0,5.3,2.2,92.0,0.2,0.3,34046693376,22841692160,32.9,11205001216,22841692160,5100273664,0,5100273664,0.0,0,0,326170,231020
2025-04-11 19:39:15,18.0,11.9,5.7,82.0,0.1,0.3,34046693376,22792994816,33.1,11253698560,22792994816,5100273664,0,5100273664,0.0,0,0,326178,231107
2025-04-11 19:39:16,23.1,10.8,11.3,76.9,0.5,0.5,34046693376,22813020160,33.0,11233673216,22813020160,5100273664,0,5100273664,0.0,0,0,326185,231185
2025-04-11 19:39:17,24.5,16.1,7.8,75.5,0.2,0.4,34046693376,22731440128,33.2,11315253248,22731440128,5100273664,0,5100273664,0.0,0,0,326189,231263
2025-04-11 19:39:18,17.5,12.5,4.5,82.5,0.3,0.3,34046693376,22717587456,33.3,11329105920,22717587456,5100273664,0,5100273664,0.0,0,0,326191,231293
2025-04-11 19:39:19,17.3,13.5,3.8,82.7,0.1,0.0,34046693376,22649339904,33.5,11397353472,22649339904,5100273664,0,5100273664,0.0,0,0,326201,231344
2025-04-11 19:39:20,15.8,12.5,3.1,84.2,0.0,0.2,34046693376,22638772224,33.5,11407921152,22638772224,5100273664,0,5100273664,0.0,0,0,326205,231494
